1. Abhyudaya Cooperative Bank | Cooperative Bank | ABHYUDAYA | cms4cnrmq0047wen4n1pdo8xw | Active | Personal Loan Mapped: Yes | Programs: Abhyudaya — Personal Loan | Priority: —
13. Axis Bank | Private Bank | AXIS | cmrusopch003hwe60phw80i5i | Active | Personal Loan Mapped: Yes | Programs: Axis — Personal Loan | Priority: —
14. Bajaj Finance | NBFC | BAJAJ_FINANCE | cms4cnfmd0033wen4dd25gl97 | Active | Personal Loan Mapped: Yes | Programs: Bajaj Finance — Personal Loan | Priority: —
15. Bandhan Bank | Private Bank | BANDHAN | cms4cmym7001dwen4yy0kag4p | Active | Personal Loan Mapped: Yes | Programs: Bandhan — Personal Loan | Priority: —
16. Bank of America | Bank | BANK_OF_AMERICA | cms8hq5jy000bwed8cw15ailo | Active | Personal Loan Mapped: Yes | Programs: BofA — Personal Loan | Priority: —
17. Bank of Baroda | Public Bank | BOB | cms4cmkgh0003wen4racfsmj4 | Active | Personal Loan Mapped: Yes | Programs: BoB — Personal Loan | Priority: —
18. Bank of India | Public Bank | BOI | cms4cmn6x000dwen4ppiw05e0 | Active | Personal Loan Mapped: Yes | Programs: BoI — Personal Loan | Priority: —
19. Bank of Maharashtra | Public Bank | BOM | cms4cmpds000lwen4uwizbmrj | Active | Personal Loan Mapped: Yes | Programs: BoM — Personal Loan | Priority: —
20. Barclays Bank | Bank | BARCLAYS | cms8hr7h1006dwed8sffs0yn3 | Active | Personal Loan Mapped: Yes | Programs: Barclays — Personal Loan | Priority: —
21. Baroda UP Bank | Cooperative Bank | BARODA_UP_GRAMIN | cms8hrh5a007lwed88ridyam5 | Active | Personal Loan Mapped: Yes | Programs: Baroda UP — Personal Loan | Priority: —
22. BBK | Bank | BANK_OF_BAHRAIN | cms8hrcez006xwed8u8up0x9i | Active | Personal Loan Mapped: Yes | Programs: BBK — Personal Loan | Priority: —
23. Berar Finance | NBFC | BERAR_FINANCE | cms8hqn670031wed84lhfs276 | Active | Personal Loan Mapped: Yes | Programs: Berar — Personal Loan | Priority: —
24. Bharat Cooperative Bank | Cooperative Bank | BHARAT_COOP | cms4cns8a0049wen434kaf4h7 | Active | Personal Loan Mapped: Yes | Programs: Bharat Coop — Personal Loan | Priority: —
25. BharatPe | NBFC | BHARATPE | cms8hrw8r00a1wed8h6lzlzrr | Active | Personal Loan Mapped: Yes | Programs: BharatPe — Personal Loan | Priority: —
26. Bihar State Co-operative Bank | Cooperative Bank | BIHAR_STATE_COOP | cms8hrq2n0091wed8wtpasqlz | Active | Personal Loan Mapped: Yes | Programs: BSCB — Personal Loan | Priority: —
27. BNP Paribas | Bank | BNP_PARIBAS | cms8hr7y5006fwed8w8xgj1ls | Active | Personal Loan Mapped: Yes | Programs: BNP Paribas — Personal Loan | Priority: —
28. Bombay Mercantile Co-op Bank | Cooperative Bank | BOMBAY_MERC | cms8hr2oj005lwed8wvtp4r26 | Active | Personal Loan Mapped: Yes | Programs: BMCB — Personal Loan | Priority: —
29. Canara Bank | Public Bank | CANARA | cms4cmljv0007wen4xa9hgtpl | Active | Personal Loan Mapped: Yes | Programs: Canara — Personal Loan | Priority: —
30. Capital Float | NBFC | CAPITAL_FLOAT | cms8hqgom001zwed8sxsyj686 | Active | Personal Loan Mapped: Yes | Programs: Capital Float — Personal Loan | Priority: —
31. Capital Small Finance Bank | SFB | CAPITAL_SFB | cms4cn4mv001zwen42nlml0pc | Active | Personal Loan Mapped: Yes | Programs: Capital SFB — Personal Loan | Priority: —
32. Capri Global | NBFC | CAPRI_GLOBAL | cms4cnlkp003nwen4eywper25 | Active | Personal Loan Mapped: Yes | Programs: Capri — Personal Loan | Priority: —
33. CASHe | NBFC | CASHE | cms8hqj4c002dwed8rohax3cv | Active | Personal Loan Mapped: Yes | Programs: CASHe — Personal Loan | Priority: —
34. Central Bank of India | Public Bank | CBI | cms4cmnqu000fwen42ygnftpi | Active | Personal Loan Mapped: Yes | Programs: CBI — Personal Loan | Priority: —
35. Chhattisgarh Rajya Sahakari Bank | Cooperative Bank | CHHATTISGARH_RAJYA | cms8hrqr70095wed8jmesmbgc | Active | Personal Loan Mapped: Yes | Programs: CG Rajya Bank — Personal Loan | Priority: —
36. Cholamandalam Investment & Finance | NBFC | CHOLA | cms4cnhyz003bwen45z3id9dm | Active | Personal Loan Mapped: Yes | Programs: Chola — Personal Loan | Priority: —
37. Citibank | Bank | CITIBANK | cms8hq60x000dwed8rmrvt41d | Active | Personal Loan Mapped: Yes | Programs: Citi — Personal Loan | Priority: —
38. Citizen Credit Co-op Bank | Cooperative Bank | CITIZEN_CREDIT | cms8hr5pz0063wed8u7ts8ymh | Active | Personal Loan Mapped: Yes | Programs: Citizen Credit — Personal Loan | Priority: —
39. City Union Bank | Private Bank | CUB | cms4cmwfb0015wen4tjpqtz8y | Active | Personal Loan Mapped: Yes | Programs: CUB — Personal Loan | Priority: —
40. Cosmos Cooperative Bank | Cooperative Bank | COSMOS | cms4cnptn0041wen4c63jdpf6 | Active | Personal Loan Mapped: Yes | Programs: Cosmos — Personal Loan | Priority: —
41. CRED | NBFC | CRED_AVENUE | cms8hqlth002twed8g1ybhodn | Active | Personal Loan Mapped: Yes | Programs: CRED — Personal Loan | Priority: —
42. Credit Agricole CIB | Bank | CREDIT_AGRICOLE | cms8hr8fa006hwed82t5kadwt | Active | Personal Loan Mapped: Yes | Programs: CACIB — Personal Loan | Priority: —
43. CSB Bank | Private Bank | CSB | cms4cmy2i001bwen46gohs72s | Active | Personal Loan Mapped: Yes | Programs: CSB — Personal Loan | Priority: —
44. CTBC Bank | Bank | CTBC_BANK | cms8hrcw2006zwed8msy5qbbw | Active | Personal Loan Mapped: Yes | Programs: CTBC — Personal Loan | Priority: —
45. DBS Bank India | Bank | DBS_INDIA | cms8hq4m00007wed8nyf40466 | Active | Personal Loan Mapped: Yes | Programs: DBS — Personal Loan | Priority: —
46. DCB Bank | Private Bank | DCB | cms4cmwz20017wen412c85bwt | Active | Personal Loan Mapped: Yes | Programs: DCB — Personal Loan | Priority: —
47. Deutsche Bank | Bank | DEUTSCHE_BANK | cms8hq5320009wed8mkd9nu57 | Active | Personal Loan Mapped: Yes | Programs: Deutsche — Personal Loan | Priority: —
48. Dhanlaxmi Bank | Private Bank | DHANLAXMI_BANK | cms8hq7zb000lwed8e6wredb5 | Active | Personal Loan Mapped: Yes | Programs: Dhanlaxmi — Personal Loan | Priority: —
49. Doha Bank | Bank | DOHA_BANK | cms8hq7ib000jwed8kuyd0g4a | Active | Personal Loan Mapped: Yes | Programs: Doha — Personal Loan | Priority: —
50. Dombivli Nagari Sahakari Bank | Cooperative Bank | DOMBIVLI_NAGARI | cms8hr6260065wed8v75ropll | Active | Personal Loan Mapped: Yes | Programs: DNS Bank — Personal Loan | Priority: —
51. EarlySalary / Fibe | NBFC | EARLYSALARY | cms8hqirx002bwed8rsmor57j | Active | Personal Loan Mapped: Yes | Programs: Fibe — Personal Loan | Priority: —
52. Edelweiss Finance | NBFC | EDELWEISS | cms4cnm68003pwen4f9zoqxtd | Active | Personal Loan Mapped: Yes | Programs: Edelweiss — Personal Loan | Priority: —
53. Emirates NBD | Bank | EMIRATES_NBD | cms8hrazz006rwed8e1oyj9gr | Active | Personal Loan Mapped: Yes | Programs: ENBD — Personal Loan | Priority: —
54. Equitas Small Finance Bank | SFB | EQUITAS_SFB | cms4cn1ci001nwen42wevago5 | Active | Personal Loan Mapped: Yes | Programs: Equitas — Personal Loan | Priority: —
55. ESAF Small Finance Bank | SFB | ESAF_SFB | cms4cn2zy001twen4cilgo0iu | Active | Personal Loan Mapped: Yes | Programs: ESAF — Personal Loan | Priority: —
56. EXIM Bank | NBFC | EXIM_BANK | cms8hr0o30059wed87zifv6sk | Active | Personal Loan Mapped: Yes | Programs: EXIM — Personal Loan | Priority: —
57. Federal Bank | Private Bank | FEDERAL | cms4cmsvt000twen4qf3d6wok | Active | Personal Loan Mapped: Yes | Programs: Federal — Personal Loan | Priority: —
58. Fincare Small Finance Bank | SFB | FINCARE_SFB | cms8hq8ng000pwed8yg2iip3s | Active | Personal Loan Mapped: Yes | Programs: Fincare SFB — Personal Loan | Priority: —
59. Fino Payments Bank | payments bank | FINO_PAYMENTS | cms8hrf4j0079wed8lnx8gbj6 | Active | Personal Loan Mapped: Yes | Programs: Fino — Personal Loan | Priority: —
60. First Abu Dhabi Bank | Bank | FIRST_ABU_DHABI | cms8hrab3006pwed8hjuecqdp | Active | Personal Loan Mapped: Yes | Programs: FAB — Personal Loan | Priority: —
61. FlexiLoans | NBFC | FLEXILOANS | cms8hqhp40025wed8exph7i4r | Active | Personal Loan Mapped: Yes | Programs: FlexiLoans — Personal Loan | Priority: —
62. Fullerton India | NBFC | FULLERTON_INDIA_CREDIT | cms8hqbd30015wed8kt2jn0n4 | Active | Personal Loan Mapped: Yes | Programs: Fullerton — Personal Loan | Priority: —
63. Goa State Co-operative Bank | Cooperative Bank | GOA_STATE_COOP | cms8hrnpm008nwed8zumtql0k | Active | Personal Loan Mapped: Yes | Programs: GSCB — Personal Loan | Priority: —
64. Greater Bombay Co-op Bank | Cooperative Bank | GREATER_BOMBAY | cms8hr4p9005xwed8g4tk7dtx | Active | Personal Loan Mapped: Yes | Programs: GBCB — Personal Loan | Priority: —
65. GS Mahanagar Co-op Bank | Cooperative Bank | GS_MAHANAGAR | cms8hr1ob005fwed8ygtzuvdh | Active | Personal Loan Mapped: Yes | Programs: GS Mahanagar — Personal Loan | Priority: —
66. Gujarat State Co-operative Bank | Cooperative Bank | GUJARAT_STATE_COOP | cms8hro1u008pwed8hfvhgrgh | Active | Personal Loan Mapped: Yes | Programs: GSC Bank — Personal Loan | Priority: —
67. Haryana State Co-op Apex Bank | Cooperative Bank | HARYANA_STATE_COOP | cms8hrrrn009bwed88bs1w4ip | Active | Personal Loan Mapped: Yes | Programs: HARCO Bank — Personal Loan | Priority: —
68. HDB Financial Services | NBFC | HDB_FINANCIAL | cms8hru7f009pwed8w8c1qs28 | Active | Personal Loan Mapped: Yes | Programs: HDBFS — Personal Loan | Priority: —
69. HDFC Bank | Private Bank | HDFC | cmrusopl1003lwe601zac0dvs | Active | Personal Loan Mapped: Yes | Programs: HDFC — Personal Loan | Priority: —
70. HDFC Credila | NBFC | HDFC_CREDILA | cms8hqfnz001twed80g0fuwf9 | Active | Personal Loan Mapped: Yes | Programs: Credila — Personal Loan | Priority: —
71. Hero FinCorp | NBFC | HERO_FINCORP | cms4cnoly003xwen4muehb0ef | Active | Personal Loan Mapped: Yes | Programs: Hero FinCorp — Personal Loan | Priority: —
72. Hinduja Leyland Finance | NBFC | HINDUJA_LEYLAND | cms4cnnzf003vwen43xt306wy | Active | Personal Loan Mapped: Yes | Programs: HLF — Personal Loan | Priority: —
73. HP Gramin Bank | Cooperative Bank | HIMACHAL_GRAMIN | cms8hrkcc0083wed86rf4n0q8 | Active | Personal Loan Mapped: Yes | Programs: HPGB — Personal Loan | Priority: —
74. HP State Co-operative Bank | Cooperative Bank | HIMACHAL_STATE_COOP | cms8hrsg3009fwed8ue7spag5 | Active | Personal Loan Mapped: Yes | Programs: HPSCB — Personal Loan | Priority: —
75. HSBC Bank | Bank | HSBC | cms8hq4540005wed8g8qwfida | Active | Personal Loan Mapped: Yes | Programs: HSBC — Personal Loan | Priority: —
76. Ichalkaranji Merchants Co-op Bank | Cooperative Bank | ICHALKARANJI | cms8hr754006bwed89gn7lao1 | Active | Personal Loan Mapped: Yes | Programs: IMCB — Personal Loan | Priority: —
77. ICICI Bank | Private Bank | ICICI | cmrusopoe003nwe60331ytwfx | Active | Personal Loan Mapped: Yes | Programs: ICICI — Personal Loan | Priority: —
78. IDBI Bank | Private Bank | IDBI | cms4cmz5s001fwen4lcqhnj8z | Active | Personal Loan Mapped: Yes | Programs: IDBI — Personal Loan | Priority: —
79. IDFC FIRST Bank | Private Bank | IDFC_FIRST | cms4cmsbt000rwen4q9tdyqfh | Active | Personal Loan Mapped: Yes | Programs: IDFC FIRST — Personal Loan | Priority: —
80. IIFL Finance | NBFC | IIFL_FINANCE | cms4cnkdf003jwen4s4uw7m1s | Active | Personal Loan Mapped: Yes | Programs: IIFL — Personal Loan | Priority: —
81. InCred | NBFC | INCRED | cms8hqg06001vwed89mwtsy4q | Active | Personal Loan Mapped: Yes | Programs: InCred — Personal Loan | Priority: —
82. India Post Payments Bank | payments bank | INDIA_POST_PAYMENTS | cms8hres80077wed82efnz6mg | Active | Personal Loan Mapped: Yes | Programs: IPPB — Personal Loan | Priority: —
83. Indian Bank | Public Bank | INDIAN_BANK | cms4cmmnb000bwen4yc37vp41 | Active | Personal Loan Mapped: Yes | Programs: Indian Bank — Personal Loan | Priority: —
84. Indian Overseas Bank | Public Bank | IOB | cms4cmoag000hwen46kqfky1h | Active | Personal Loan Mapped: Yes | Programs: IOB — Personal Loan | Priority: —
85. Indifi | NBFC | INDIFI | cms8hqhd00023wed80fmkc38b | Active | Personal Loan Mapped: Yes | Programs: Indifi — Personal Loan | Priority: —
86. IndusInd Bank | Private Bank | INDUSIND | cms4cmrsd000pwen4n938ri4v | Active | Personal Loan Mapped: Yes | Programs: IndusInd — Personal Loan | Priority: —
87. Industrial & Commercial Bank of China (ICBC) | Bank | ICBC | cms8hrywa00afwed8aop436bb | Active | Personal Loan Mapped: Yes | Programs: ICBC — Personal Loan | Priority: —
88. Industrial Bank of Korea | Bank | INDUSTRIAL_BANK_KOREA | cms8hrdcx0071wed845cfp65y | Active | Personal Loan Mapped: Yes | Programs: IBK — Personal Loan | Priority: —
89. J.P. Morgan Chase Bank | Bank | JP_MORGAN | cms8hrxy300abwed8usffskjj | Active | Personal Loan Mapped: Yes | Programs: J.P. Morgan — Personal Loan | Priority: —
90. Jalgaon Janata Sahakari Bank | Cooperative Bank | JALGAON_JANATA | cms8hr6gn0067wed8icfe21bu | Active | Personal Loan Mapped: Yes | Programs: JJSB — Personal Loan | Priority: —
91. Jammu & Kashmir Bank | Private Bank | JKB | cms4cmzpd001hwen4fn4vpxz5 | Active | Personal Loan Mapped: Yes | Programs: J&K Bank — Personal Loan | Priority: —
92. Jana Small Finance Bank | SFB | JANA_SFB | cms4cn2gg001rwen4t5dwmg0k | Active | Personal Loan Mapped: Yes | Programs: Jana — Personal Loan | Priority: —
93. Jharkhand State Co-operative Bank | Cooperative Bank | JHARKHAND_STATE_COOP | cms8hrqet0093wed8jgmnpg9l | Active | Personal Loan Mapped: Yes | Programs: JSCB — Personal Loan | Priority: —
94. Jio Payments Bank | payments bank | JIO_PAYMENTS | cms8hrfst007dwed8bh36gubf | Active | Personal Loan Mapped: Yes | Programs: Jio PB — Personal Loan | Priority: —
95. Kalupur Commercial Co-op Bank | Cooperative Bank | KALUPUR | cms8hr3cn005pwed86ff81ru3 | Active | Personal Loan Mapped: Yes | Programs: Kalupur — Personal Loan | Priority: —
96. Karad Urban Co-op Bank | Cooperative Bank | KARAD_URBAN | cms8hr6sy0069wed8kivgzl4q | Active | Personal Loan Mapped: Yes | Programs: Karad UCB — Personal Loan | Priority: —
97. Karnataka Bank | Private Bank | KARNATAKA | cms4cmvc40011wen4mz5p47ew | Active | Personal Loan Mapped: Yes | Programs: KBL — Personal Loan | Priority: —
98. Karnataka State Co-op Apex Bank | Cooperative Bank | KARNATAKA_STATE_COOP | cms8hroq2008twed8yz2o56eo | Active | Personal Loan Mapped: Yes | Programs: KSC Apex — Personal Loan | Priority: —
99. Karnataka Vikas Grameena Bank | Cooperative Bank | KARNATAKA_VIKAS | cms8hri80007rwed8c3r1dfvl | Active | Personal Loan Mapped: Yes | Programs: KVGB — Personal Loan | Priority: —
100. Karur Vysya Bank | Private Bank | KVB | cms4cmvvn0013wen4i8tb6bzn | Active | Personal Loan Mapped: Yes | Programs: KVB — Personal Loan | Priority: —
101. KEB Hana Bank | Bank | KEB_HANA | cms8hrdu30073wed86tdbfs2k | Active | Personal Loan Mapped: Yes | Programs: KEB Hana — Personal Loan | Priority: —
102. Kerala Gramin Bank | Cooperative Bank | KERALA_GRAMIN | cms8hrgt7007jwed84zxayeaz | Active | Personal Loan Mapped: Yes | Programs: KGB — Personal Loan | Priority: —
103. Kerala State Co-operative Bank | Cooperative Bank | KERALA_STATE_COOP | cms8hrped008xwed89rzzvfmg | Active | Personal Loan Mapped: Yes | Programs: KSCB — Personal Loan | Priority: —
104. Kosamattam Finance | NBFC | KOSAMATTAM | cms8hqnud0035wed89ogz2vxn | Active | Personal Loan Mapped: Yes | Programs: Kosamattam — Personal Loan | Priority: —
105. Kotak Mahindra Bank | Private Bank | KOTAK | cmrusoprt003pwe60kshcazu7 | Active | Personal Loan Mapped: Yes | Programs: Kotak — Personal Loan | Priority: —
106. KreditBee | NBFC | KREDITBEE | cms8hqi1b0027wed8cbep796t | Active | Personal Loan Mapped: Yes | Programs: KreditBee — Personal Loan | Priority: —
107. L&T Finance | NBFC | LT_FINANCE | cms4cnhcu0039wen4z8cd7mva | Active | Personal Loan Mapped: Yes | Programs: L&T Finance — Personal Loan | Priority: —
108. Lakshmi Vilas Bank (Legacy) | Private Bank | LAXMI_VILAS | cms8hq8bi000nwed8hipls2f3 | Active | Personal Loan Mapped: Yes | Programs: LVB — Personal Loan | Priority: —
109. LazyPay | NBFC | LAZY_PAY | cms8hqksu002nwed8du1vm56p | Active | Personal Loan Mapped: Yes | Programs: LazyPay — Personal Loan | Priority: —
110. Lendingkart | NBFC | LENDINGKART | cms8hqgcf001xwed8dsbo19ph | Active | Personal Loan Mapped: Yes | Programs: Lendingkart — Personal Loan | Priority: —
111. Madhya Pradesh Gramin Bank | Cooperative Bank | MADHYA_PRADESH_GRAMIN | cms8hrjbj007xwed83925asbm | Active | Personal Loan Mapped: Yes | Programs: MPGB — Personal Loan | Priority: —
112. Maharashtra State Co-operative Bank | Cooperative Bank | MAHARASHTRA_STATE_COOP | cms8hrody008rwed8i70mighs | Active | Personal Loan Mapped: Yes | Programs: MSCB — Personal Loan | Priority: —
113. Mahindra Finance | NBFC | MAHINDRA_FINANCE | cms4cnikz003dwen4ivq9dwsy | Active | Personal Loan Mapped: Yes | Programs: Mahindra Finance — Personal Loan | Priority: —
114. Manappuram Finance | NBFC | MANAPPURAM | cms4cnndr003twen49zt4vnaj | Active | Personal Loan Mapped: Yes | Programs: Manappuram — Personal Loan | Priority: —
115. Manipur Rural Bank | Cooperative Bank | MANIPUR_RURAL | cms8hrm0w008dwed8d8c0mh4p | Active | Personal Loan Mapped: Yes | Programs: MRB Manipur — Personal Loan | Priority: —
116. Mashreq Bank | Bank | MASHREQ_BANK | cms8hrzde00ahwed8jhyto8um | Active | Personal Loan Mapped: Yes | Programs: Mashreq — Personal Loan | Priority: —
117. Meghalaya Rural Bank | Cooperative Bank | MEGHALAYA_RURAL | cms8hrlcu0089wed83043cbko | Active | Personal Loan Mapped: Yes | Programs: MRB — Personal Loan | Priority: —
118. Mehsana Urban Co-op Bank | Cooperative Bank | MEHSANA_URBAN | cms8hr3ox005rwed85i2ht19j | Active | Personal Loan Mapped: Yes | Programs: Mehsana UCB — Personal Loan | Priority: —
119. Mizoram Rural Bank | Cooperative Bank | MIZORAM_RURAL | cms8hrmd3008fwed8kd55zdw4 | Active | Personal Loan Mapped: Yes | Programs: MzRB — Personal Loan | Priority: —
120. Mizuho Bank | Bank | MIZUHO | cms8hr9de006lwed8h35dlwln | Active | Personal Loan Mapped: Yes | Programs: Mizuho — Personal Loan | Priority: —
121. MoneyTap | NBFC | MONEYTAP | cms8hqidh0029wed84sfug16z | Active | Personal Loan Mapped: Yes | Programs: MoneyTap — Personal Loan | Priority: —
122. Motilal Oswal Credit | NBFC | MOTILAL_OSWAL | cms8hqxz5004twed8gi9una78 | Active | Personal Loan Mapped: Yes | Programs: MOFSL Credit — Personal Loan | Priority: —
123. MP State Co-operative Bank | Cooperative Bank | MADHYA_PRADESH_STATE_COOP | cms8hrr3d0097wed8y7lgw9qn | Active | Personal Loan Mapped: Yes | Programs: MPSCB — Personal Loan | Priority: —
124. Mswipe | NBFC | MSWIPE | cms8hrxlt00a9wed85bbrzetc | Active | Personal Loan Mapped: Yes | Programs: Mswipe — Personal Loan | Priority: —
125. MUFG Bank | Bank | MUFG_BANK | cms8hr8wh006jwed876rv2dco | Active | Personal Loan Mapped: Yes | Programs: MUFG — Personal Loan | Priority: —
126. Muthoot Finance | NBFC | MUTHOOT | cms4cnmrv003rwen4127dugwy | Active | Personal Loan Mapped: Yes | Programs: Muthoot — Personal Loan | Priority: —
127. Muthoot Fincorp | NBFC | MUTHOOT_FINCORP | cms8hqm5p002vwed88icftkcb | Active | Personal Loan Mapped: Yes | Programs: Muthoot Fincorp — Personal Loan | Priority: —
128. Nagaland Rural Bank | Cooperative Bank | NAGALAND_RURAL | cms8hrmpd008hwed8thdnawp4 | Active | Personal Loan Mapped: Yes | Programs: NRB — Personal Loan | Priority: —
129. Nainital Bank | Private Bank | NAINITAL | cms4cn08y001jwen42hvxrs0e | Active | Personal Loan Mapped: Yes | Programs: Nainital — Personal Loan | Priority: —
130. Navi | NBFC | NAVI | cms8hqjgh002fwed8h8yzpae2 | Active | Personal Loan Mapped: Yes | Programs: Navi — Personal Loan | Priority: —
131. NeoGrowth | NBFC | NEOGROWTH | cms8hqh0u0021wed883wmoo9q | Active | Personal Loan Mapped: Yes | Programs: NeoGrowth — Personal Loan | Priority: —
132. New India Co-operative Bank | Cooperative Bank | NEW_INDIA_COOP | cms8hr2ct005jwed8m8a1p200 | Active | Personal Loan Mapped: Yes | Programs: New India Coop — Personal Loan | Priority: —
133. NKGSB Cooperative Bank | Cooperative Bank | NKGSB | cms4cnr100045wen40lyv32tq | Active | Personal Loan Mapped: Yes | Programs: NKGSB — Personal Loan | Priority: —
134. North East Small Finance Bank | SFB | NESFB | cms4cn58j0021wen4gffag33l | Active | Personal Loan Mapped: Yes | Programs: NESFB — Personal Loan | Priority: —
135. NSDL Payments Bank | payments bank | NSDL_PAYMENTS | cms8hrfgq007bwed84c5rqyfi | Active | Personal Loan Mapped: Yes | Programs: NSDL PB — Personal Loan | Priority: —
136. Odisha Gramya Bank | Cooperative Bank | ODISHA_GRAMYA | cms8hrgh4007hwed8o56n5lzv | Active | Personal Loan Mapped: Yes | Programs: OGB — Personal Loan | Priority: —
137. Open | NBFC | OPEN_FINANCIAL | cms8hrwkz00a3wed8xn8qhhqh | Active | Personal Loan Mapped: Yes | Programs: Open — Personal Loan | Priority: —
138. Paytm Payments Bank | payments bank | PAYTM_PAYMENTS | cms4cnswj004bwen4ol6d5dqr | Active | Personal Loan Mapped: Yes | Programs: Paytm PB — Personal Loan | Priority: —
139. PayU Finance | NBFC | PAYU_FINANCE | cms8hqjsn002hwed8de8uj604 | Active | Personal Loan Mapped: Yes | Programs: PayU Finance — Personal Loan | Priority: —
140. Pine Labs Capital | NBFC | PINE_LABS_CAPITAL | cms8hrx9c00a7wed8snf6gu60 | Active | Personal Loan Mapped: Yes | Programs: Pine Labs — Personal Loan | Priority: —
141. Piramal Finance | NBFC | PIRAMAL_FINANCE | cms4cnkz5003lwen4jfhr97rd | Active | Personal Loan Mapped: Yes | Programs: Piramal Finance — Personal Loan | Priority: —
142. PMC Bank (Legacy) | Cooperative Bank | PUNJAB_MAHARASHTRA | cms8hr51j005zwed8xax2hpk6 | Active | Personal Loan Mapped: Yes | Programs: PMC — Personal Loan | Priority: —
143. Poonawalla Fincorp | NBFC | POONAWALLA | cms4cnjs5003hwen4fdzqoebf | Active | Personal Loan Mapped: Yes | Programs: Poonawalla — Personal Loan | Priority: —
144. Prathama UP Gramin Bank | Cooperative Bank | PRATHAMA_UP | cms8hrizb007vwed8vovtraf6 | Active | Personal Loan Mapped: Yes | Programs: Prathama UP — Personal Loan | Priority: —
145. Protium | NBFC | PROTIUM | cms8hqt8o0041wed8hci3lu0r | Active | Personal Loan Mapped: Yes | Programs: Protium — Personal Loan | Priority: —
146. Punjab & Sind Bank | Public Bank | PSB | cms4cmpxm000nwen466wwhm7o | Active | Personal Loan Mapped: Yes | Programs: PSB — Personal Loan | Priority: —
147. Punjab Gramin Bank | Cooperative Bank | PUNJAB_GRAMIN | cms8hrk010081wed8vk427w6w | Active | Personal Loan Mapped: Yes | Programs: PGB — Personal Loan | Priority: —
148. Punjab National Bank | Public Bank | PNB | cms4cml070005wen4713bpnwd | Active | Personal Loan Mapped: Yes | Programs: PNB — Personal Loan | Priority: —
149. Punjab State Co-operative Bank | Cooperative Bank | PUNJAB_STATE_COOP | cms8hrs3w009dwed8bflex5g4 | Active | Personal Loan Mapped: Yes | Programs: PSCB — Personal Loan | Priority: —
150. QNB | Bank | QATAR_NATIONAL | cms8hrbh1006twed8nlqa8nkx | Active | Personal Loan Mapped: Yes | Programs: QNB — Personal Loan | Priority: —
151. Rajarambapu Sahakari Bank | Cooperative Bank | RAJARAMBAPU | cms8hr30l005nwed8j38xuwra | Active | Personal Loan Mapped: Yes | Programs: Rajarambapu — Personal Loan | Priority: —
152. Rajasthan Marudhara Gramin Bank | Cooperative Bank | RAJASTHAN_MARUDHARA | cms8hrjns007zwed8ysynj636 | Active | Personal Loan Mapped: Yes | Programs: RMGB — Personal Loan | Priority: —
153. Rajasthan State Co-operative Bank | Cooperative Bank | RAJASTHAN_STATE_COOP | cms8hrrfn0099wed8rt3wyxr0 | Active | Personal Loan Mapped: Yes | Programs: RSCB — Personal Loan | Priority: —
