1. Abhyudaya Cooperative Bank | Cooperative Bank | ABHYUDAYA | cms4cnrmq0047wen4n1pdo8xw | Active | Unsecured Business Loan Mapped: Yes | Programs: Abhyudaya — Business Loan (Unsecured) | Priority: —
17. Bajaj Finance | NBFC | BAJAJ_FINANCE | cms4cnfmd0033wen4dd25gl97 | Active | Unsecured Business Loan Mapped: Yes | Programs: Bajaj Finance — Business Loan (Unsecured) | Priority: —
18. Bandhan Bank | Private Bank | BANDHAN | cms4cmym7001dwen4yy0kag4p | Active | Unsecured Business Loan Mapped: Yes | Programs: Bandhan — Business Loan (Unsecured) | Priority: —
19. Bandhan Financial Services | NBFC | BANDHAN_FINANCIAL | cms8hqvzg004hwed8c21xvesr | Active | Unsecured Business Loan Mapped: Yes | Programs: Bandhan FS — Business Loan (Unsecured) | Priority: —
20. Bank of America | Bank | BANK_OF_AMERICA | cms8hq5jy000bwed8cw15ailo | Active | Unsecured Business Loan Mapped: Yes | Programs: BofA — Business Loan (Unsecured) | Priority: —
21. Bank of Baroda | Public Bank | BOB | cms4cmkgh0003wen4racfsmj4 | Active | Unsecured Business Loan Mapped: Yes | Programs: BoB — Business Loan (Unsecured) | Priority: —
22. Bank of India | Public Bank | BOI | cms4cmn6x000dwen4ppiw05e0 | Active | Unsecured Business Loan Mapped: Yes | Programs: BoI — Business Loan (Unsecured) | Priority: —
23. Bank of Maharashtra | Public Bank | BOM | cms4cmpds000lwen4uwizbmrj | Active | Unsecured Business Loan Mapped: Yes | Programs: BoM — Business Loan (Unsecured) | Priority: —
24. Barclays Bank | Bank | BARCLAYS | cms8hr7h1006dwed8sffs0yn3 | Active | Unsecured Business Loan Mapped: Yes | Programs: Barclays — Business Loan (Unsecured) | Priority: —
25. Baroda UP Bank | Cooperative Bank | BARODA_UP_GRAMIN | cms8hrh5a007lwed88ridyam5 | Active | Unsecured Business Loan Mapped: Yes | Programs: Baroda UP — Business Loan (Unsecured) | Priority: —
26. BBK | Bank | BANK_OF_BAHRAIN | cms8hrcez006xwed8u8up0x9i | Active | Unsecured Business Loan Mapped: Yes | Programs: BBK — Business Loan (Unsecured) | Priority: —
27. Belstar Microfinance | NBFC | BELSTAR | cms8hqwz3004nwed8vkbk3y3m | Active | Unsecured Business Loan Mapped: Yes | Programs: Belstar — Business Loan (Unsecured) | Priority: —
28. Berar Finance | NBFC | BERAR_FINANCE | cms8hqn670031wed84lhfs276 | Active | Unsecured Business Loan Mapped: Yes | Programs: Berar — Business Loan (Unsecured) | Priority: —
29. Bharat Cooperative Bank | Cooperative Bank | BHARAT_COOP | cms4cns8a0049wen434kaf4h7 | Active | Unsecured Business Loan Mapped: Yes | Programs: Bharat Coop — Business Loan (Unsecured) | Priority: —
30. BharatPe | NBFC | BHARATPE | cms8hrw8r00a1wed8h6lzlzrr | Active | Unsecured Business Loan Mapped: Yes | Programs: BharatPe — Business Loan (Unsecured) | Priority: —
31. Bihar State Co-operative Bank | Cooperative Bank | BIHAR_STATE_COOP | cms8hrq2n0091wed8wtpasqlz | Active | Unsecured Business Loan Mapped: Yes | Programs: BSCB — Business Loan (Unsecured) | Priority: —
32. BMW Financial Services | NBFC | BMW_FINANCIAL | cms8hqpv9003hwed80w7dmc3b | Active | Unsecured Business Loan Mapped: Yes | Programs: BMW FS — Business Loan (Unsecured) | Priority: —
33. BNP Paribas | Bank | BNP_PARIBAS | cms8hr7y5006fwed8w8xgj1ls | Active | Unsecured Business Loan Mapped: Yes | Programs: BNP Paribas — Business Loan (Unsecured) | Priority: —
34. Bombay Mercantile Co-op Bank | Cooperative Bank | BOMBAY_MERC | cms8hr2oj005lwed8wvtp4r26 | Active | Unsecured Business Loan Mapped: Yes | Programs: BMCB — Business Loan (Unsecured) | Priority: —
35. Canara Bank | Public Bank | CANARA | cms4cmljv0007wen4xa9hgtpl | Active | Unsecured Business Loan Mapped: Yes | Programs: Canara — Business Loan (Unsecured) | Priority: —
36. Capital Float | NBFC | CAPITAL_FLOAT | cms8hqgom001zwed8sxsyj686 | Active | Unsecured Business Loan Mapped: Yes | Programs: Capital Float — Business Loan (Unsecured) | Priority: —
37. Capital Small Finance Bank | SFB | CAPITAL_SFB | cms4cn4mv001zwen42nlml0pc | Active | Unsecured Business Loan Mapped: Yes | Programs: Capital SFB — Business Loan (Unsecured) | Priority: —
38. Capri Global | NBFC | CAPRI_GLOBAL | cms4cnlkp003nwen4eywper25 | Active | Unsecured Business Loan Mapped: Yes | Programs: Capri — Business Loan (Unsecured) | Priority: —
39. CASHe | NBFC | CASHE | cms8hqj4c002dwed8rohax3cv | Active | Unsecured Business Loan Mapped: Yes | Programs: CASHe — Business Loan (Unsecured) | Priority: —
40. Central Bank of India | Public Bank | CBI | cms4cmnqu000fwen42ygnftpi | Active | Unsecured Business Loan Mapped: Yes | Programs: CBI — Business Loan (Unsecured) | Priority: —
41. Chhattisgarh Rajya Sahakari Bank | Cooperative Bank | CHHATTISGARH_RAJYA | cms8hrqr70095wed8jmesmbgc | Active | Unsecured Business Loan Mapped: Yes | Programs: CG Rajya Bank — Business Loan (Unsecured) | Priority: —
42. Cholamandalam Investment & Finance | NBFC | CHOLA | cms4cnhyz003bwen45z3id9dm | Active | Unsecured Business Loan Mapped: Yes | Programs: Chola — Business Loan (Unsecured) | Priority: —
43. Citibank | Bank | CITIBANK | cms8hq60x000dwed8rmrvt41d | Active | Unsecured Business Loan Mapped: Yes | Programs: Citi — Business Loan (Unsecured) | Priority: —
44. Citizen Credit Co-op Bank | Cooperative Bank | CITIZEN_CREDIT | cms8hr5pz0063wed8u7ts8ymh | Active | Unsecured Business Loan Mapped: Yes | Programs: Citizen Credit — Business Loan (Unsecured) | Priority: —
45. City Union Bank | Private Bank | CUB | cms4cmwfb0015wen4tjpqtz8y | Active | Unsecured Business Loan Mapped: Yes | Programs: CUB — Business Loan (Unsecured) | Priority: —
46. Clix Capital | NBFC | CLIX_CAPITAL | cms8hrzug00ajwed8qwz7d961 | Active | Unsecured Business Loan Mapped: Yes | Programs: Clix Capital — Business Loan (Unsecured) | Priority: —
47. Cosmos Cooperative Bank | Cooperative Bank | COSMOS | cms4cnptn0041wen4c63jdpf6 | Active | Unsecured Business Loan Mapped: Yes | Programs: Cosmos — Business Loan (Unsecured) | Priority: —
48. CRED | NBFC | CRED_AVENUE | cms8hqlth002twed8g1ybhodn | Active | Unsecured Business Loan Mapped: Yes | Programs: CRED — Business Loan (Unsecured) | Priority: —
49. Credit Agricole CIB | Bank | CREDIT_AGRICOLE | cms8hr8fa006hwed82t5kadwt | Active | Unsecured Business Loan Mapped: Yes | Programs: CACIB — Business Loan (Unsecured) | Priority: —
50. Credit Saison India | NBFC | CREDIT_SAISON | cms8hs06p00alwed8uj1in1tl | Active | Unsecured Business Loan Mapped: Yes | Programs: Credit Saison — Business Loan (Unsecured) | Priority: —
51. CreditAccess Grameen | NBFC | CREDITACCESS | cms8hqvbi004dwed80z1ggcoa | Active | Unsecured Business Loan Mapped: Yes | Programs: CA Grameen — Business Loan (Unsecured) | Priority: —
52. CSB Bank | Private Bank | CSB | cms4cmy2i001bwen46gohs72s | Active | Unsecured Business Loan Mapped: Yes | Programs: CSB — Business Loan (Unsecured) | Priority: —
53. CTBC Bank | Bank | CTBC_BANK | cms8hrcw2006zwed8msy5qbbw | Active | Unsecured Business Loan Mapped: Yes | Programs: CTBC — Business Loan (Unsecured) | Priority: —
54. DBS Bank India | Bank | DBS_INDIA | cms8hq4m00007wed8nyf40466 | Active | Unsecured Business Loan Mapped: Yes | Programs: DBS — Business Loan (Unsecured) | Priority: —
55. DCB Bank | Private Bank | DCB | cms4cmwz20017wen412c85bwt | Active | Unsecured Business Loan Mapped: Yes | Programs: DCB — Business Loan (Unsecured) | Priority: —
56. Deutsche Bank | Bank | DEUTSCHE_BANK | cms8hq5320009wed8mkd9nu57 | Active | Unsecured Business Loan Mapped: Yes | Programs: Deutsche — Business Loan (Unsecured) | Priority: —
57. Dhanlaxmi Bank | Private Bank | DHANLAXMI_BANK | cms8hq7zb000lwed8e6wredb5 | Active | Unsecured Business Loan Mapped: Yes | Programs: Dhanlaxmi — Business Loan (Unsecured) | Priority: —
58. Doha Bank | Bank | DOHA_BANK | cms8hq7ib000jwed8kuyd0g4a | Active | Unsecured Business Loan Mapped: Yes | Programs: Doha — Business Loan (Unsecured) | Priority: —
59. Dombivli Nagari Sahakari Bank | Cooperative Bank | DOMBIVLI_NAGARI | cms8hr6260065wed8v75ropll | Active | Unsecured Business Loan Mapped: Yes | Programs: DNS Bank — Business Loan (Unsecured) | Priority: —
60. EarlySalary / Fibe | NBFC | EARLYSALARY | cms8hqirx002bwed8rsmor57j | Active | Unsecured Business Loan Mapped: Yes | Programs: Fibe — Business Loan (Unsecured) | Priority: —
61. Edelweiss Finance | NBFC | EDELWEISS | cms4cnm68003pwen4f9zoqxtd | Active | Unsecured Business Loan Mapped: Yes | Programs: Edelweiss — Business Loan (Unsecured) | Priority: —
62. Electronica Finance | NBFC | ELECTRONICA_FINANCE | cms8hqskc003xwed8p4qh2rqw | Active | Unsecured Business Loan Mapped: Yes | Programs: EFL — Business Loan (Unsecured) | Priority: —
63. Emirates NBD | Bank | EMIRATES_NBD | cms8hrazz006rwed8e1oyj9gr | Active | Unsecured Business Loan Mapped: Yes | Programs: ENBD — Business Loan (Unsecured) | Priority: —
64. Equitas Small Finance Bank | SFB | EQUITAS_SFB | cms4cn1ci001nwen42wevago5 | Active | Unsecured Business Loan Mapped: Yes | Programs: Equitas — Business Loan (Unsecured) | Priority: —
65. ESAF Small Finance Bank | SFB | ESAF_SFB | cms4cn2zy001twen4cilgo0iu | Active | Unsecured Business Loan Mapped: Yes | Programs: ESAF — Business Loan (Unsecured) | Priority: —
66. Escorts Finance | NBFC | ESCORTS_FINANCE | cms8hrvwh009zwed8jshgho02 | Active | Unsecured Business Loan Mapped: Yes | Programs: Escorts Finance — Business Loan (Unsecured) | Priority: —
67. EXIM Bank | NBFC | EXIM_BANK | cms8hr0o30059wed87zifv6sk | Active | Unsecured Business Loan Mapped: Yes | Programs: EXIM — Business Loan (Unsecured) | Priority: —
68. Federal Bank | Private Bank | FEDERAL | cms4cmsvt000twen4qf3d6wok | Active | Unsecured Business Loan Mapped: Yes | Programs: Federal — Business Loan (Unsecured) | Priority: —
69. Fincare Small Finance Bank | SFB | FINCARE_SFB | cms8hq8ng000pwed8yg2iip3s | Active | Unsecured Business Loan Mapped: Yes | Programs: Fincare SFB — Business Loan (Unsecured) | Priority: —
70. First Abu Dhabi Bank | Bank | FIRST_ABU_DHABI | cms8hrab3006pwed8hjuecqdp | Active | Unsecured Business Loan Mapped: Yes | Programs: FAB — Business Loan (Unsecured) | Priority: —
71. FlexiLoans | NBFC | FLEXILOANS | cms8hqhp40025wed8exph7i4r | Active | Unsecured Business Loan Mapped: Yes | Programs: FlexiLoans — Business Loan (Unsecured) | Priority: —
72. Ford Credit | NBFC | FORD_CREDIT | cms8hrvk9009xwed87bvgqcb0 | Active | Unsecured Business Loan Mapped: Yes | Programs: Ford Credit — Business Loan (Unsecured) | Priority: —
73. Fullerton India | NBFC | FULLERTON_INDIA_CREDIT | cms8hqbd30015wed8kt2jn0n4 | Active | Unsecured Business Loan Mapped: Yes | Programs: Fullerton — Business Loan (Unsecured) | Priority: —
74. Fusion Finance | NBFC | FUSION_FINANCE | cms8hqvnj004fwed8yqlkye36 | Active | Unsecured Business Loan Mapped: Yes | Programs: Fusion — Business Loan (Unsecured) | Priority: —
75. Goa State Co-operative Bank | Cooperative Bank | GOA_STATE_COOP | cms8hrnpm008nwed8zumtql0k | Active | Unsecured Business Loan Mapped: Yes | Programs: GSCB — Business Loan (Unsecured) | Priority: —
76. Greater Bombay Co-op Bank | Cooperative Bank | GREATER_BOMBAY | cms8hr4p9005xwed8g4tk7dtx | Active | Unsecured Business Loan Mapped: Yes | Programs: GBCB — Business Loan (Unsecured) | Priority: —
77. GS Mahanagar Co-op Bank | Cooperative Bank | GS_MAHANAGAR | cms8hr1ob005fwed8ygtzuvdh | Active | Unsecured Business Loan Mapped: Yes | Programs: GS Mahanagar — Business Loan (Unsecured) | Priority: —
78. Gujarat State Co-operative Bank | Cooperative Bank | GUJARAT_STATE_COOP | cms8hro1u008pwed8hfvhgrgh | Active | Unsecured Business Loan Mapped: Yes | Programs: GSC Bank — Business Loan (Unsecured) | Priority: —
79. Haryana State Co-op Apex Bank | Cooperative Bank | HARYANA_STATE_COOP | cms8hrrrn009bwed88bs1w4ip | Active | Unsecured Business Loan Mapped: Yes | Programs: HARCO Bank — Business Loan (Unsecured) | Priority: —
80. HDB Financial Services | NBFC | HDB_FINANCIAL | cms8hru7f009pwed8w8c1qs28 | Active | Unsecured Business Loan Mapped: Yes | Programs: HDBFS — Business Loan (Unsecured) | Priority: —
81. HDFC Bank | Private Bank | HDFC | cmrusopl1003lwe601zac0dvs | Active | Unsecured Business Loan Mapped: Yes | Programs: HDFC — Business Loan (Unsecured) | Priority: —
82. HDFC Credila | NBFC | HDFC_CREDILA | cms8hqfnz001twed80g0fuwf9 | Active | Unsecured Business Loan Mapped: Yes | Programs: Credila — Business Loan (Unsecured) | Priority: —
83. Hero FinCorp | NBFC | HERO_FINCORP | cms4cnoly003xwen4muehb0ef | Active | Unsecured Business Loan Mapped: Yes | Programs: Hero FinCorp — Business Loan (Unsecured) | Priority: —
84. Hinduja Leyland Finance | NBFC | HINDUJA_LEYLAND | cms4cnnzf003vwen43xt306wy | Active | Unsecured Business Loan Mapped: Yes | Programs: HLF — Business Loan (Unsecured) | Priority: —
85. Honda Finance | NBFC | HONDA_FINANCE | cms8hruvt009twed8o4twfm2l | Active | Unsecured Business Loan Mapped: Yes | Programs: Honda Finance — Business Loan (Unsecured) | Priority: —
86. HP Gramin Bank | Cooperative Bank | HIMACHAL_GRAMIN | cms8hrkcc0083wed86rf4n0q8 | Active | Unsecured Business Loan Mapped: Yes | Programs: HPGB — Business Loan (Unsecured) | Priority: —
87. HP State Co-operative Bank | Cooperative Bank | HIMACHAL_STATE_COOP | cms8hrsg3009fwed8ue7spag5 | Active | Unsecured Business Loan Mapped: Yes | Programs: HPSCB — Business Loan (Unsecured) | Priority: —
88. HSBC Bank | Bank | HSBC | cms8hq4540005wed8g8qwfida | Active | Unsecured Business Loan Mapped: Yes | Programs: HSBC — Business Loan (Unsecured) | Priority: —
89. HUDCO | NBFC | HUDCO | cms8hqzbd0051wed887vi84vh | Active | Unsecured Business Loan Mapped: Yes | Programs: HUDCO — Business Loan (Unsecured) | Priority: —
90. Hyundai Capital | NBFC | HYUNDAI_CAPITAL | cms8hrv82009vwed8e370jnpp | Active | Unsecured Business Loan Mapped: Yes | Programs: Hyundai Capital — Business Loan (Unsecured) | Priority: —
91. Ichalkaranji Merchants Co-op Bank | Cooperative Bank | ICHALKARANJI | cms8hr754006bwed89gn7lao1 | Active | Unsecured Business Loan Mapped: Yes | Programs: IMCB — Business Loan (Unsecured) | Priority: —
92. ICICI Bank | Private Bank | ICICI | cmrusopoe003nwe60331ytwfx | Active | Unsecured Business Loan Mapped: Yes | Programs: ICICI — Business Loan (Unsecured) | Priority: —
93. IDBI Bank | Private Bank | IDBI | cms4cmz5s001fwen4lcqhnj8z | Active | Unsecured Business Loan Mapped: Yes | Programs: IDBI — Business Loan (Unsecured) | Priority: —
94. IDFC FIRST Bank | Private Bank | IDFC_FIRST | cms4cmsbt000rwen4q9tdyqfh | Active | Unsecured Business Loan Mapped: Yes | Programs: IDFC FIRST — Business Loan (Unsecured) | Priority: —
95. IFCI | NBFC | IFC_INDIA | cms8hqzni0053wed8bna44m99 | Active | Unsecured Business Loan Mapped: Yes | Programs: IFCI — Business Loan (Unsecured) | Priority: —
96. IIFL Finance | NBFC | IIFL_FINANCE | cms4cnkdf003jwen4s4uw7m1s | Active | Unsecured Business Loan Mapped: Yes | Programs: IIFL — Business Loan (Unsecured) | Priority: —
97. IIFL Samasta | NBFC | IIFL_SAMASTA | cms8hqmu5002zwed8kjxf93xs | Active | Unsecured Business Loan Mapped: Yes | Programs: Samasta — Business Loan (Unsecured) | Priority: —
98. InCred | NBFC | INCRED | cms8hqg06001vwed89mwtsy4q | Active | Unsecured Business Loan Mapped: Yes | Programs: InCred — Business Loan (Unsecured) | Priority: —
99. Indian Bank | Public Bank | INDIAN_BANK | cms4cmmnb000bwen4yc37vp41 | Active | Unsecured Business Loan Mapped: Yes | Programs: Indian Bank — Business Loan (Unsecured) | Priority: —
100. Indian Overseas Bank | Public Bank | IOB | cms4cmoag000hwen46kqfky1h | Active | Unsecured Business Loan Mapped: Yes | Programs: IOB — Business Loan (Unsecured) | Priority: —
101. Indifi | NBFC | INDIFI | cms8hqhd00023wed80fmkc38b | Active | Unsecured Business Loan Mapped: Yes | Programs: Indifi — Business Loan (Unsecured) | Priority: —
102. IndusInd Bank | Private Bank | INDUSIND | cms4cmrsd000pwen4n938ri4v | Active | Unsecured Business Loan Mapped: Yes | Programs: IndusInd — Business Loan (Unsecured) | Priority: —
103. Industrial & Commercial Bank of China (ICBC) | Bank | ICBC | cms8hrywa00afwed8aop436bb | Active | Unsecured Business Loan Mapped: Yes | Programs: ICBC — Business Loan (Unsecured) | Priority: —
104. Industrial Bank of Korea | Bank | INDUSTRIAL_BANK_KOREA | cms8hrdcx0071wed845cfp65y | Active | Unsecured Business Loan Mapped: Yes | Programs: IBK — Business Loan (Unsecured) | Priority: —
105. IOC Finance Desk | NBFC | IOCL_FINANCE | cms8hqo6l0037wed888q4kyv0 | Active | Unsecured Business Loan Mapped: Yes | Programs: IOC — Business Loan (Unsecured) | Priority: —
106. IRFC | NBFC | IRFC | cms8hqyzc004zwed8ho4l7o12 | Active | Unsecured Business Loan Mapped: Yes | Programs: IRFC — Business Loan (Unsecured) | Priority: —
107. J.P. Morgan Chase Bank | Bank | JP_MORGAN | cms8hrxy300abwed8usffskjj | Active | Unsecured Business Loan Mapped: Yes | Programs: J.P. Morgan — Business Loan (Unsecured) | Priority: —
108. Jalgaon Janata Sahakari Bank | Cooperative Bank | JALGAON_JANATA | cms8hr6gn0067wed8icfe21bu | Active | Unsecured Business Loan Mapped: Yes | Programs: JJSB — Business Loan (Unsecured) | Priority: —
109. Jammu & Kashmir Bank | Private Bank | JKB | cms4cmzpd001hwen4fn4vpxz5 | Active | Unsecured Business Loan Mapped: Yes | Programs: J&K Bank — Business Loan (Unsecured) | Priority: —
110. Jana Small Finance Bank | SFB | JANA_SFB | cms4cn2gg001rwen4t5dwmg0k | Active | Unsecured Business Loan Mapped: Yes | Programs: Jana — Business Loan (Unsecured) | Priority: —
111. Jharkhand State Co-operative Bank | Cooperative Bank | JHARKHAND_STATE_COOP | cms8hrqet0093wed8jgmnpg9l | Active | Unsecured Business Loan Mapped: Yes | Programs: JSCB — Business Loan (Unsecured) | Priority: —
112. JM Financial Credit | NBFC | JM_FINANCIAL | cms8hqxn5004rwed8p99aqq5i | Active | Unsecured Business Loan Mapped: Yes | Programs: JM Financial — Business Loan (Unsecured) | Priority: —
113. John Deere Financial | NBFC | JOHN_DEERE_FINANCIAL | cms8hqqjm003lwed8ncpoyjt4 | Active | Unsecured Business Loan Mapped: Yes | Programs: John Deere FS — Business Loan (Unsecured) | Priority: —
114. Kalupur Commercial Co-op Bank | Cooperative Bank | KALUPUR | cms8hr3cn005pwed86ff81ru3 | Active | Unsecured Business Loan Mapped: Yes | Programs: Kalupur — Business Loan (Unsecured) | Priority: —
115. Karad Urban Co-op Bank | Cooperative Bank | KARAD_URBAN | cms8hr6sy0069wed8kivgzl4q | Active | Unsecured Business Loan Mapped: Yes | Programs: Karad UCB — Business Loan (Unsecured) | Priority: —
116. Karnataka Bank | Private Bank | KARNATAKA | cms4cmvc40011wen4mz5p47ew | Active | Unsecured Business Loan Mapped: Yes | Programs: KBL — Business Loan (Unsecured) | Priority: —
117. Karnataka State Co-op Apex Bank | Cooperative Bank | KARNATAKA_STATE_COOP | cms8hroq2008twed8yz2o56eo | Active | Unsecured Business Loan Mapped: Yes | Programs: KSC Apex — Business Loan (Unsecured) | Priority: —
118. Karnataka Vikas Grameena Bank | Cooperative Bank | KARNATAKA_VIKAS | cms8hri80007rwed8c3r1dfvl | Active | Unsecured Business Loan Mapped: Yes | Programs: KVGB — Business Loan (Unsecured) | Priority: —
119. Karur Vysya Bank | Private Bank | KVB | cms4cmvvn0013wen4i8tb6bzn | Active | Unsecured Business Loan Mapped: Yes | Programs: KVB — Business Loan (Unsecured) | Priority: —
120. KEB Hana Bank | Bank | KEB_HANA | cms8hrdu30073wed86tdbfs2k | Active | Unsecured Business Loan Mapped: Yes | Programs: KEB Hana — Business Loan (Unsecured) | Priority: —
121. Kerala Gramin Bank | Cooperative Bank | KERALA_GRAMIN | cms8hrgt7007jwed84zxayeaz | Active | Unsecured Business Loan Mapped: Yes | Programs: KGB — Business Loan (Unsecured) | Priority: —
122. Kerala State Co-operative Bank | Cooperative Bank | KERALA_STATE_COOP | cms8hrped008xwed89rzzvfmg | Active | Unsecured Business Loan Mapped: Yes | Programs: KSCB — Business Loan (Unsecured) | Priority: —
123. Kinara Capital | NBFC | KINARA_CAPITAL | cms8hqtkm0043wed83cuyruqa | Active | Unsecured Business Loan Mapped: Yes | Programs: Kinara — Business Loan (Unsecured) | Priority: —
124. Kosamattam Finance | NBFC | KOSAMATTAM | cms8hqnud0035wed89ogz2vxn | Active | Unsecured Business Loan Mapped: Yes | Programs: Kosamattam — Business Loan (Unsecured) | Priority: —
125. Kotak Mahindra Bank | Private Bank | KOTAK | cmrusoprt003pwe60kshcazu7 | Active | Unsecured Business Loan Mapped: Yes | Programs: Kotak — Business Loan (Unsecured) | Priority: —
126. Kotak Mahindra Prime | NBFC | KOTAK_MAHINDRA_PRIME | cms8hqcdp001bwed84y5qt16i | Active | Unsecured Business Loan Mapped: Yes | Programs: Kotak Prime — Business Loan (Unsecured) | Priority: —
127. KreditBee | NBFC | KREDITBEE | cms8hqi1b0027wed8cbep796t | Active | Unsecured Business Loan Mapped: Yes | Programs: KreditBee — Business Loan (Unsecured) | Priority: —
128. L&T Finance | NBFC | LT_FINANCE | cms4cnhcu0039wen4z8cd7mva | Active | Unsecured Business Loan Mapped: Yes | Programs: L&T Finance — Business Loan (Unsecured) | Priority: —
129. Lakshmi Vilas Bank (Legacy) | Private Bank | LAXMI_VILAS | cms8hq8bi000nwed8hipls2f3 | Active | Unsecured Business Loan Mapped: Yes | Programs: LVB — Business Loan (Unsecured) | Priority: —
130. LazyPay | NBFC | LAZY_PAY | cms8hqksu002nwed8du1vm56p | Active | Unsecured Business Loan Mapped: Yes | Programs: LazyPay — Business Loan (Unsecured) | Priority: —
131. Lendingkart | NBFC | LENDINGKART | cms8hqgcf001xwed8dsbo19ph | Active | Unsecured Business Loan Mapped: Yes | Programs: Lendingkart — Business Loan (Unsecured) | Priority: —
132. Madhya Pradesh Gramin Bank | Cooperative Bank | MADHYA_PRADESH_GRAMIN | cms8hrjbj007xwed83925asbm | Active | Unsecured Business Loan Mapped: Yes | Programs: MPGB — Business Loan (Unsecured) | Priority: —
133. Maharashtra State Co-operative Bank | Cooperative Bank | MAHARASHTRA_STATE_COOP | cms8hrody008rwed8i70mighs | Active | Unsecured Business Loan Mapped: Yes | Programs: MSCB — Business Loan (Unsecured) | Priority: —
134. Mahindra Finance | NBFC | MAHINDRA_FINANCE | cms4cnikz003dwen4ivq9dwsy | Active | Unsecured Business Loan Mapped: Yes | Programs: Mahindra Finance — Business Loan (Unsecured) | Priority: —
135. Manappuram Finance | NBFC | MANAPPURAM | cms4cnndr003twen49zt4vnaj | Active | Unsecured Business Loan Mapped: Yes | Programs: Manappuram — Business Loan (Unsecured) | Priority: —
136. Manipur Rural Bank | Cooperative Bank | MANIPUR_RURAL | cms8hrm0w008dwed8d8c0mh4p | Active | Unsecured Business Loan Mapped: Yes | Programs: MRB Manipur — Business Loan (Unsecured) | Priority: —
137. Mashreq Bank | Bank | MASHREQ_BANK | cms8hrzde00ahwed8jhyto8um | Active | Unsecured Business Loan Mapped: Yes | Programs: Mashreq — Business Loan (Unsecured) | Priority: —
138. Meghalaya Rural Bank | Cooperative Bank | MEGHALAYA_RURAL | cms8hrlcu0089wed83043cbko | Active | Unsecured Business Loan Mapped: Yes | Programs: MRB — Business Loan (Unsecured) | Priority: —
